id,source_canonical_name,source_aliases_json,source_group_name,source_pregnancy_severity,source_breastfeeding_severity,source_rationale,source_non_overridable_boolean
1,Retinol,"[""retinyl palmitate"", ""tretinoin"", ""adapalene"", ""retinoids"", ""retinoic acid"", ""retinaldehyde""]",Retinoids,avoid,avoid,Retinoids are known teratogens and can cause birth defects. Avoid all forms during pregnancy and breastfeeding.,True
3,Formaldehyde,"[""formalin"", ""dmdm hydantoin"", ""quaternium-15"", ""imidazolidinyl urea"", ""diazolidinyl urea""]",Preservatives,avoid,avoid,Known carcinogen and formaldehyde-releasing preservatives should be avoided during pregnancy and nursing.,True
4,Oxybenzone,"[""benzophenone-3"", ""bp-3""]",Chemical Sunscreens,avoid,avoid,Potential endocrine disruptor with high skin absorption. Use mineral sunscreens instead.,False
5,Avobenzone,"[""butyl methoxydibenzoylmethane""]",Chemical Sunscreens,avoid,caution,Chemical UV filter with potential endocrine disruption. Prefer mineral sunscreens during pregnancy.,False
7,Phthalates,"[""diethyl phthalate"", ""dep"", ""dibutyl phthalate"", ""dbp""]",Plasticizers,avoid,avoid,Endocrine disruptors linked to developmental and reproductive issues. Often hidden in 'fragrance'.,True
8,Parabens,"[""methylparaben"", ""propylparaben"", ""butylparaben"", ""ethylparaben"", ""isobutylparaben""]",Preservatives,avoid,caution,"Weak estrogen mimics. While low concentrations may be tolerable, it is best to avoid during pregnancy.",False
9,Minoxidil,"[""rogaine""]",Hair Growth,avoid,avoid,Category C drug. Can cause fetal harm and is excreted in breast milk.,True
10,Isotretinoin,"[""accutane"", ""13-cis-retinoic acid""]",Retinoids,avoid,avoid,Extremely teratogenic. Absolutely contraindicated during pregnancy. Must be discontinued at least 1 month before conception.,True
11,Toluene,"[""methylbenzene""]",Solvents,avoid,avoid,Toxic solvent commonly found in nail products. Can cause developmental damage.,True
12,Triclosan,"[""irgasan""]",Antibacterials,avoid,avoid,Endocrine disruptor that may affect thyroid function and fetal development.,False
13,Benzoyl Peroxide,"[""bpo"", ""benzoyl peroxide usp""]",Acne Treatments,caution,caution,Limited systemic absorption (~5%). Generally considered safe in low concentrations but use with caution. Consult your healthcare provider.,False
14,Glycolic Acid,"[""aha"", ""alpha hydroxy acid"", ""hydroxyacetic acid""]",Exfoliants,caution,safe,Low concentrations (<10%) in topical products have minimal absorption. Higher concentrations and peels should be avoided during pregnancy.,False
15,Lactic Acid,"[""2-hydroxypropanoic acid""]",Exfoliants,caution,safe,Generally safe in low concentrations for topical use. Avoid high-concentration peels during pregnancy.,False
16,Witch Hazel,"[""hamamelis virginiana"", ""hamamelis water""]",Botanicals,caution,safe,Generally safe topically but some formulations contain alcohol. Use alcohol-free versions and consult provider.,False
18,Argan Oil,"[""argania spinosa kernel oil""]",Plant Oils,caution,safe,Generally considered safe but limited pregnancy-specific studies. Use in moderation.,False
19,Niacinamide,"[""vitamin b3"", ""nicotinamide""]",Vitamins,safe,caution,Safe during pregnancy at topical concentrations. Use with caution while breastfeeding as high doses may pass into breast milk.,False
20,Caffeine,"[""caffeine anhydrous"", ""coffea arabica""]",Stimulants,caution,caution,Topical caffeine has minimal absorption but may accumulate with multiple products. Use in moderation.,False
21,Camphor,"[""cinnamomum camphora""]",Botanicals,caution,caution,Can be toxic if ingested or used in large amounts. Small amounts in topical products are generally okay with caution.,False
25,Hyaluronic Acid,"[""sodium hyaluronate"", ""ha"", ""hyaluronan""]",Humectants,safe,safe,Naturally occurring in the body. Topical application is completely safe during pregnancy and breastfeeding.,False
26,Shea Butter,"[""butyrospermum parkii"", ""butyrospermum parkii butter""]",Emollients,safe,safe,Natural moisturizer safe for all stages. Excellent for preventing stretch marks during pregnancy.,False
27,Coconut Oil,"[""cocos nucifera oil"", ""cocos nucifera""]",Plant Oils,safe,safe,Natural emollient safe during pregnancy and breastfeeding. Great for skin and hair care.,False
28,Aloe Vera,"[""aloe barbadensis"", ""aloe barbadensis leaf juice"", ""aloe barbadensis leaf extract""]",Botanicals,safe,safe,Topical aloe vera is safe during pregnancy. Avoid oral consumption. Soothing for skin irritation.,False
30,Zinc Oxide,"[""ci 77947""]",Mineral Sunscreens,safe,safe,Mineral sunscreen ingredient that sits on top of skin without absorption. Preferred sun protection during pregnancy.,False
32,Cetyl Alcohol,"[""cetearyl alcohol"", ""1-hexadecanol""]",Fatty Alcohols,safe,safe,Fatty alcohol used as an emollient and thickener. Not a drying alcohol. Safe during pregnancy.,False
33,Stearic Acid,"[""octadecanoic acid""]",Fatty Acids,safe,safe,Naturally occurring fatty acid used as an emulsifier. Completely safe for topical use.,False
34,Dimethicone,"[""polydimethylsiloxane"", ""pdms""]",Silicones,safe,safe,Silicone-based polymer that forms a protective barrier. No systemic absorption. Safe during pregnancy.,False
281,Ceresin,[],Occlusives,safe,safe,Generally considered safe in topical cosmetic use.,False
17,Tea Tree Oil,"[""melaleuca alternifolia"", ""melaleuca oil""]",Essential Oils,safe,safe,Topical tea tree oil products may be safe during pregnancy and while breastfeeding; avoid ingestion and discontinue if irritation occurs. (Topical cosmetic use only.),False
23,Water,"[""aqua"", ""purified water"", ""deionized water"", ""eau"", ""water / eau"", ""water/aqua/ eau""]",Base,safe,safe,Completely safe. Universal solvent used as the base in most skincare formulations.,False
35,Squalane,"[""squalene"", ""olive-derived squalane""]",Emollients,safe,safe,Naturally found in human sebum. Excellent moisturizer that is completely safe during pregnancy.,False
36,Jojoba Oil,"[""simmondsia chinensis seed oil"", ""jojoba seed oil""]",Plant Oils,safe,safe,Liquid wax similar to skin's natural sebum. Safe and well-tolerated during pregnancy.,False
37,Panthenol,"[""provitamin b5"", ""d-panthenol"", ""dexpanthenol""]",Vitamins,safe,safe,Provitamin B5 that hydrates and repairs skin barrier. Safe during pregnancy and breastfeeding.,False
38,Allantoin,"[""5-ureidohydantoin""]",Skin Protectants,safe,safe,Soothing and healing compound. Safe for use during pregnancy to help with skin irritation.,False
39,Ceramides,"[""ceramide np"", ""ceramide ap"", ""ceramide eop"", ""phytosphingosine""]",Lipids,safe,safe,Naturally occurring lipids in skin barrier. Essential for maintaining healthy skin. Safe during pregnancy.,False
40,Cocoa Butter,"[""theobroma cacao seed butter""]",Emollients,safe,safe,Rich natural moisturizer popular for stretch mark prevention. Safe during pregnancy.,False
41,Petrolatum,"[""petroleum jelly"", ""white petrolatum"", ""vaseline""]",Occlusives,safe,safe,Highly refined petrolatum is safe as an occlusive moisturizer. No systemic absorption.,False
42,Lanolin,"[""lanolin alcohol"", ""lanolin oil""]",Emollients,safe,safe,Wool-derived emollient safe during pregnancy. Often used on nipples during breastfeeding.,False
43,Centella Asiatica,"[""cica"", ""madecassoside"", ""asiaticoside"", ""gotu kola""]",Botanicals,safe,safe,Soothing botanical extract known for skin healing and barrier repair. Safe during pregnancy.,False
44,Azelaic Acid,"[""nonanedioic acid""]",Acne Treatments,safe,safe,Category B drug considered safe during pregnancy. Effective for acne and hyperpigmentation.,False
56,Alpha Arbutin,"[""α-arbutin"", ""alpha-arbutin""]",Skin Lighteners,caution,safe,Brightening ingredient related to hydroquinone (much milder). Use caution in pregnancy; generally low risk topically.,False
57,Beta Arbutin,"[""β-arbutin"", ""arbutin""]",Skin Lighteners,caution,safe,Brightening ingredient related to hydroquinone (milder). Use caution in pregnancy; generally low risk topically.,False
58,Kojic Acid,[],Skin Lighteners,caution,safe,Skin brightener used for hyperpigmentation. Limited pregnancy data; use caution.,False
59,Kojic Dipalmitate,"[""kojic acid dipalmitate""]",Skin Lighteners,caution,safe,Ester form of kojic acid used for brightening. Limited pregnancy data; use caution.,False
60,Tranexamic Acid,[],Skin Lighteners,caution,safe,Used topically for melasma/PIH. Limited topical pregnancy data; use caution.,False
61,Licorice Root Extract,"[""glycyrrhiza glabra root extract"", ""dipotassium glycyrrhizate"", ""glabridin""]",Botanicals,safe,safe,Common soothing/brightening botanical. Generally considered safe topically.,False
79,DMDM Hydantoin,"[""dimethylol dimethyl hydantoin""]",Preservatives,avoid,avoid,Formaldehyde-releasing preservative and sensitizer; avoid during pregnancy and breastfeeding.,True
80,Quaternium-15,"[""quaternium 15""]",Preservatives,avoid,avoid,Formaldehyde-releasing preservative and sensitizer; avoid during pregnancy and breastfeeding.,True
81,Imidazolidinyl Urea,[],Preservatives,avoid,avoid,Formaldehyde-releasing preservative; avoid during pregnancy and breastfeeding.,True
82,Diazolidinyl Urea,[],Preservatives,avoid,avoid,Formaldehyde-releasing preservative; avoid during pregnancy and breastfeeding.,True
83,Sodium Hydroxymethylglycinate,"[""shmg""]",Preservatives,avoid,avoid,Formaldehyde-releasing preservative; avoid during pregnancy and breastfeeding.,True
84,Bronopol,"[""2-bromo-2-nitropropane-1,3-diol""]",Preservatives,avoid,avoid,Formaldehyde-releasing preservative; avoid during pregnancy and breastfeeding.,True
85,"5-Bromo-5-Nitro-1,3-Dioxane","[""bromonitrodioxane""]",Preservatives,avoid,avoid,Formaldehyde-releasing preservative; avoid during pregnancy and breastfeeding.,True
86,Methylparaben,"[""methyl paraben""]",Preservatives,caution,caution,Paraben preservative; some prefer to limit during pregnancy due to endocrine concerns.,False
87,Propylparaben,"[""propyl paraben""]",Preservatives,caution,caution,Paraben preservative; some prefer to limit during pregnancy due to endocrine concerns.,False
88,Butylparaben,"[""butyl paraben""]",Preservatives,caution,caution,Paraben preservative; some prefer to limit during pregnancy due to endocrine concerns.,False
89,Ethylparaben,"[""ethyl paraben""]",Preservatives,caution,caution,Paraben preservative; some prefer to limit during pregnancy due to endocrine concerns.,False
90,Fragrance,"[""parfum"", ""aroma""]",Fragrance,caution,caution,Fragrance blends can include undisclosed allergens/irritants. Use caution if sensitive.,False
91,Linalool,[],Fragrance,safe,safe,Common fragrance allergen (oxidized forms can irritate). Generally safe topically.,False
92,Limonene,"[""d-limonene""]",Fragrance,safe,safe,Common fragrance allergen (oxidized forms can irritate). Generally safe topically.,False
93,Citral,[],Fragrance,safe,safe,Fragrance allergen; generally safe topically but can irritate sensitive skin.,False
94,Geraniol,[],Fragrance,safe,safe,Fragrance allergen; generally safe topically but can irritate sensitive skin.,False
95,Eugenol,[],Fragrance,safe,safe,Fragrance allergen; generally safe topically but can irritate sensitive skin.,False
96,Coumarin,[],Fragrance,safe,safe,Fragrance allergen; generally safe topically but can irritate sensitive skin.,False
102,Sulfur,"[""sulphur""]",Acne Treatments,safe,safe,Topical sulfur is commonly used for acne/rosacea and is generally considered safe.,False
103,Resorcinol,[],Acne Treatments,caution,caution,Keratolytic ingredient used in some acne/peel products; limited pregnancy data—use caution.,False
104,Mandelic Acid,[],Exfoliants,safe,safe,AHA exfoliant; generally considered safe in pregnancy when used topically as directed.,False
105,Malic Acid,[],Exfoliants,safe,safe,AHA found in fruits; generally safe topically in pregnancy and breastfeeding.,False
106,Tartaric Acid,[],Exfoliants,safe,safe,AHA used for exfoliation/pH; generally safe topically.,False
107,Gluconolactone,"[""pha""]",Exfoliants,safe,safe,PHA exfoliant with lower irritation; generally safe.,False
108,Lactobionic Acid,[],Exfoliants,safe,safe,PHA exfoliant; generally safe topically in pregnancy and breastfeeding.,False
109,Ascorbic Acid,"[""vitamin c"", ""l-ascorbic acid""]",Vitamins,safe,safe,Vitamin C antioxidant; generally safe topically.,False
110,Sodium Ascorbyl Phosphate,"[""sap""]",Vitamins,safe,safe,Stable vitamin C derivative; generally safe topically.,False
111,Magnesium Ascorbyl Phosphate,"[""map""]",Vitamins,safe,safe,Stable vitamin C derivative; generally safe topically.,False
112,Ascorbyl Glucoside,[],Vitamins,safe,safe,Stable vitamin C derivative; generally safe topically.,False
113,Tetrahexyldecyl Ascorbate,"[""thd ascorbate""]",Vitamins,safe,safe,Oil-soluble vitamin C derivative; generally safe topically.,False
97,Peppermint Oil,"[""mentha piperita (peppermint) oil"", ""mentha piperita extract""]",Essential Oils,safe,caution,"Peppermint oil has no clear evidence of pregnancy harm at diluted topical cosmetic use, but data are limited and some guidance is cautious; while breastfeeding, use with caution (avoid ingestion and avoid applying near the breast) and discontinue if irritation occurs. (Topical cosmetic use only.)",False
98,Clary Sage Oil,"[""salvia sclarea oil""]",Essential Oils,avoid,caution,Clary sage oil is often advised to be avoided in pregnancy (especially before term) due to potential effects on uterine activity/oxytocin; breastfeeding data are limited—use with caution and avoid ingestion. (Topical cosmetic use only.),False
99,Eucalyptus Oil,"[""eucalyptus globulus leaf oil"", ""eucalyptus globulus leaf extract""]",Essential Oils,caution,caution,Eucalyptus oil can be irritating/sensitizing and has limited pregnancy/breastfeeding-specific safety data; conservative guidance recommends caution. Avoid ingestion and avoid use near infants. (Topical cosmetic use only.),False
114,3-O-Ethyl Ascorbic Acid,"[""ethylated ascorbic acid""]",Vitamins,safe,safe,Vitamin C derivative; generally safe topically.,False
115,Bakuchiol,"[""psoralea corylifolia extract""]",Botanicals,caution,caution,Retinol alternative botanical. Limited pregnancy data; use caution.,False
116,Urea,"[""carbamide""]",Humectants,safe,safe,Humectant/keratolytic depending on strength. Typical cosmetic use is considered safe.,False
117,Butylene Glycol,"[""1,3-butanediol""]",Solvents,safe,safe,Common solvent/humectant; generally safe.,False
118,Propanediol,"[""1,3-propanediol""]",Solvents,safe,safe,Common solvent/humectant; generally safe.,False
119,Propylene Glycol,"[""1,2-propanediol""]",Solvents,safe,safe,Common solvent/humectant; generally safe.,False
120,Pentylene Glycol,[],Solvents,safe,safe,Humectant/solvent; generally safe.,False
121,Caprylyl Glycol,[],Preservatives,safe,safe,Preservative booster/humectant; generally safe.,False
122,Ethylhexylglycerin,[],Preservatives,safe,safe,Preservative booster; generally safe.,False
123,Phenoxyethanol,[],Preservatives,caution,caution,"Common preservative; generally considered safe at cosmetic limits, but some prefer caution.",False
124,Benzyl Alcohol,[],Preservatives,safe,safe,Preservative/solvent; generally safe but can irritate sensitive skin.,False
126,Potassium Sorbate,[],Preservatives,safe,safe,Preservative; generally safe.,False
127,Chlorphenesin,[],Preservatives,caution,caution,Preservative; limited pregnancy-specific data—use caution.,False
130,Disodium EDTA,"[""edta""]",Chelators,safe,safe,Chelating agent to stabilize formulas; generally safe.,False
131,Carbomer,[],Thickeners,safe,safe,Common gelling agent; generally safe.,False
133,Hydroxyethylcellulose,[],Thickeners,safe,safe,Thickener; generally safe.,False
134,Sodium Hydroxide,"[""lye""]",pH Adjusters,safe,safe,pH adjuster used at very low levels; generally safe.,False
135,Sodium Chloride,"[""salt""]",Base,safe,safe,Viscosity modifier; generally safe.,False
136,Cetearyl Alcohol,"[""cetostearyl alcohol""]",Fatty Alcohols,safe,safe,Fatty alcohol emollient/thickener; generally safe.,False
137,Stearyl Alcohol,[],Fatty Alcohols,safe,safe,Fatty alcohol; generally safe.,False
138,Caprylic/Capric Triglyceride,[],Emollients,safe,safe,Common emollient; generally safe.,False
139,Glyceryl Stearate,[],Emulsifiers,safe,safe,Emulsifier/emollient; generally safe.,False
140,PEG-100 Stearate,[],Emulsifiers,safe,safe,Emulsifier; generally safe.,False
141,Polysorbate 20,[],Emulsifiers,safe,safe,Solubilizer/emulsifier; generally safe.,False
142,Lecithin,[],Lipids,safe,safe,Skin-conditioning lipid; generally safe.,False
143,Cholesterol,[],Lipids,safe,safe,Skin-identical lipid; generally safe.,False
144,Sodium Hyaluronate,"[""hyaluronate""]",Humectants,safe,safe,Hyaluronic acid salt; generally safe.,False
145,Sodium PCA,[],Humectants,safe,safe,Natural moisturizing factor component; generally safe.,False
146,Betaine,"[""trimethylglycine""]",Humectants,safe,safe,Humectant/osmolyte; generally safe.,False
147,Ceramide NP,"[""ceramide 3""]",Lipids,safe,safe,Skin-identical ceramide; generally safe.,False
148,Ceramide AP,"[""ceramide 6 ii""]",Lipids,safe,safe,Skin-identical ceramide; generally safe.,False
149,Ceramide EOP,"[""ceramide 1""]",Lipids,safe,safe,Skin-identical ceramide; generally safe.,False
150,Green Tea Extract,"[""camellia sinensis leaf extract""]",Botanicals,safe,safe,Antioxidant botanical; generally safe.,False
151,Oat Extract,"[""avena sativa kernel extract"", ""colloidal oatmeal""]",Botanicals,safe,safe,Barrier-supporting soothing ingredient; generally safe.,False
152,Cyclotetrasiloxane,"[""d4""]",Silicones,caution,caution,Silicone (D4) has regulatory/environmental concerns; use caution.,False
153,Isododecane,[],Solvents,safe,safe,Volatile solvent common in makeup; generally safe.,False
